Departamento,Sexo,RangoEtario,NivelEducativo,IngresoPromedio,IngresoPromedioUSD,IngresoDesvEstandar,IngresoDesvEstandarUSD,HorasTrabajoPromedio,TasaActividadPonderada,TasaEmpleoPonderada,Poblacion
Gran Mendoza,Varón,15-19,Primario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0
Gran Mendoza,Varón,15-19,Secundario,1628.5504172937474,13.1866430550101,5362.5560848592095,43.4215067599936,2.0839034067587905,0.1044260500752496,0.0854768094130524,32025.0
Gran Mendoza,Varón,15-19,Terciario no universitario,3084.406294706724,24.97494975471032,6311.651014154784,51.10648594457315,3.4699570815450644,0.3801859799713877,0.1927753934191702,1346.0
Gran Mendoza,Varón,15-19,Universitario de grado,12163.868613138686,98.49286326428086,11483.674908904137,92.98522193444646,8.554744525547445,0.4277372262773722,0.4277372262773722,3514.0
Gran Mendoza,Varón,15-19,"Posgrado (especialización, maestría o doctorado)",,,,,,,,2.0
Gran Mendoza,Varón,20-24,Primario,,,,,,,,333.0
Gran Mendoza,Varón,20-24,Secundario,25747.20331773713,208.4793790909889,26326.5701947396,213.17060886428823,35.53413441088898,0.8443215652913654,0.8443215652913654,2857.0
Gran Mendoza,Varón,20-24,Terciario no universitario,23596.595546228284,191.06555098160555,17373.524785793,140.67631405500404,30.838754809373903,0.9331934242742218,0.801445726944153,3283.0
Gran Mendoza,Varón,20-24,Universitario de grado,18986.79704849917,153.73924735626863,19787.81066389413,160.2251875618958,13.73866322802493,0.5322730854645749,0.5322730854645749,8772.0
Gran Mendoza,Varón,20-24,"Posgrado (especialización, maestría o doctorado)",49001.30039011704,396.7716630778708,27626.612783624565,223.6972695030329,43.967490247074124,1.0,1.0,188.0
Gran Mendoza,Varón,25-29,Primario,31899.09832546157,258.2922941332921,23007.170164183844,186.29287582335093,25.27994847574066,1.0,0.7539716616573636,382.0
Gran Mendoza,Varón,25-29,Secundario,46726.82659998437,378.3548712549342,23618.325241433715,191.24149993063736,47.03618035477065,1.0,1.0,1235.0
Gran Mendoza,Varón,25-29,Terciario no universitario,55339.550692199286,448.093527872059,32440.79437550145,262.67849696762306,40.27605073364835,0.969907983088784,0.9277128409185113,1960.0
Gran Mendoza,Varón,25-29,Universitario de grado,23674.78555543789,191.69866846508413,27313.6834664423,221.1634288780753,22.462882558508948,0.6711850047654347,0.6230011648840411,4728.0
Gran Mendoza,Varón,25-29,"Posgrado (especialización, maestría o doctorado)",77717.90662475259,629.2947904838267,37120.91332174032,300.5741969371685,32.395855163581324,1.0,1.0,347.0
Gran Mendoza,Varón,30-34,Primario,40596.87325516471,328.7196214993094,11591.886265231276,93.86142724883624,34.56337241764378,1.0,1.0,411.0
Gran Mendoza,Varón,30-34,Secundario,78945.58912386707,639.2355394645107,64557.26800403948,522.7309150124654,33.64320241691843,0.9121601208459216,0.7799093655589124,825.0
Gran Mendoza,Varón,30-34,Terciario no universitario,69978.24631860777,566.6254762640305,39821.54841552174,322.4416875750748,51.16775435073628,1.0,0.9449464524765728,1292.0
Gran Mendoza,Varón,30-34,Universitario de grado,56390.3743315508,456.6022213081037,27150.17061317649,219.8394381633724,30.89692775505924,0.9499842717835796,0.9499842717835796,2428.0
Gran Mendoza,Varón,30-34,"Posgrado (especialización, maestría o doctorado)",107340.60813479005,869.1547217391907,72637.54850621916,588.1582874997503,37.37448993023562,1.0,1.0,516.0
Gran Mendoza,Varón,35-39,Primario,75840.20416175893,614.0907219575622,18112.243970924294,146.65784591841532,55.308205732234,1.0,1.0,406.0
Gran Mendoza,Varón,35-39,Secundario,51335.12856150104,415.6690571781461,38369.407805591465,310.6834640128864,38.202831827658095,0.95361362056984,0.95361362056984,607.0
Gran Mendoza,Varón,35-39,Terciario no universitario,74657.41296518607,604.5134653051504,69407.88292949894,562.007149226712,30.543217286914764,0.9194177671068428,0.8097238895558223,837.0
Gran Mendoza,Varón,35-39,Universitario de grado,81507.08965517241,659.9764344548373,65470.53277208706,530.1257714339033,39.71420689655172,1.0,1.0,1343.0
Gran Mendoza,Varón,35-39,"Posgrado (especialización, maestría o doctorado)",108262.9007921539,876.622678478979,89751.3206120138,726.7313409879661,38.43370426254244,1.0,1.0,516.0
Gran Mendoza,Varón,40-44,Primario,71002.97492562686,574.9228738917154,81648.91978769244,661.1248565805056,31.41011474713132,0.8236294092647684,0.8236294092647684,409.0
Gran Mendoza,Varón,40-44,Secundario,43105.56140770888,349.0328858923796,27387.276258582147,221.75932193183925,39.13706009097438,0.9399090256164712,0.9399090256164712,540.0
Gran Mendoza,Varón,40-44,Terciario no universitario,44518.21608040201,360.47138526641305,34060.10955130322,275.79036073929734,41.904522613065325,0.8910175879396985,0.8910175879396985,638.0
Gran Mendoza,Varón,40-44,Universitario de grado,95713.3924969746,775.0072266961505,46422.00303759228,375.8866642720023,36.87878176684147,1.0,0.854780153287616,850.0
Gran Mendoza,Varón,40-44,"Posgrado (especialización, maestría o doctorado)",137386.48128975002,1112.441144046559,87484.24679067403,708.3744679406805,37.216979736725335,1.0,1.0,424.0
Gran Mendoza,Varón,45-49,Primario,48497.81420765027,392.6948518838079,30697.11446948013,248.5596313318229,15.972677595628417,0.7005464480874317,0.7005464480874317,372.0
Gran Mendoza,Varón,45-49,Secundario,66934.0698120445,541.9762737817368,43961.700591015535,355.9651869717857,47.35967267612837,0.943229766014576,0.943229766014576,428.0
Gran Mendoza,Varón,45-49,Terciario no universitario,77142.96166227685,624.6393656864523,46032.98706286983,372.7367373511728,41.832601697395376,1.0,0.8943517705589699,447.0
Gran Mendoza,Varón,45-49,Universitario de grado,115590.4109589041,935.954744606511,78972.94952935062,639.4570812093167,33.228767123287675,1.0,1.0,517.0
Gran Mendoza,Varón,45-49,"Posgrado (especialización, maestría o doctorado)",95815.18404907976,775.8314497901194,84926.54918913585,687.664365903934,34.69432515337423,1.0,1.0,299.0
Gran Mendoza,Varón,50-54,Primario,48514.61880088823,392.8309214646821,35582.12070756713,288.11433771309413,36.07938564026647,0.9067357512953368,0.9067357512953368,269.0
Gran Mendoza,Varón,50-54,Secundario,57724.296381390006,467.40320956591097,51001.00607325548,412.9636119291941,20.249856404365307,0.8779437105112005,0.7418150488225158,283.0
Gran Mendoza,Varón,50-54,Terciario no universitario,71214.30165104863,576.6340214659808,36169.918123741,292.8738309614656,38.48906738063364,0.8890004462293619,0.8890004462293619,301.0
Gran Mendoza,Varón,50-54,Universitario de grado,76802.49946592608,621.8825867686322,24182.26896270549,195.8078458518663,35.0467848750267,0.8760948515274514,0.8760948515274514,341.0
Gran Mendoza,Varón,50-54,"Posgrado (especialización, maestría o doctorado)",170094.3447898124,1377.282144047064,284280.91525478225,2301.8697591480345,42.213884704915785,1.0,1.0,231.0
Gran Mendoza,Varón,55-59,Primario,34378.871300757055,278.3714275364944,29916.17022817397,242.2361961795464,43.653131452167926,1.0,1.0,251.0
Gran Mendoza,Varón,55-59,Secundario,66730.97345132743,540.3317688366593,23317.246758516005,188.8036174778624,34.8541592920354,0.7872566371681415,0.7872566371681415,208.0
Gran Mendoza,Varón,55-59,Terciario no universitario,176172.34468937875,1426.4967181326217,102907.19835362709,833.2566668309885,24.6372745490982,0.5895123580494323,0.5895123580494323,211.0
Gran Mendoza,Varón,55-59,Universitario de grado,105022.512864494,850.3847195505587,56378.77889908636,456.5083311666912,38.945111492281306,0.7465694682675815,0.7465694682675815,249.0
Gran Mendoza,Varón,55-59,"Posgrado (especialización, maestría o doctorado)",181173.90374331552,1466.995172010652,91199.5398434032,738.4578124971919,35.66117647058824,1.0,1.0,188.0
Gran Mendoza,Varón,60-64,Primario,24234.795321637423,196.23316049908848,22723.89871723871,183.9991798966697,15.379239766081872,0.8318713450292398,0.8318713450292398,281.0
Gran Mendoza,Varón,60-64,Secundario,48517.51881650662,392.8544033725232,31924.468702162623,258.4977222847176,31.6337918505061,0.8383078120944718,0.7254087723851544,154.0
Gran Mendoza,Varón,60-64,Terciario no universitario,39084.23563956689,316.47154364021776,33282.880096433495,269.49700482942103,37.60616626904019,1.0,0.8990640484492567,169.0
